Sample Name	Protocol REF	Parameter Value[Concentration measurement]	Performer	Date	Extract Name	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Provider name]	Parameter Value[Provider contact]	Parameter Value[Provider project ID]	Parameter Value[Provider sample ID]	Parameter Value[Provider QC status]	Parameter Value[Requestor contact]	Parameter Value[Requestor project]	Parameter Value[Requestor sample ID]	Parameter Value[Concentration measurement]	Parameter Value[Library source]	Parameter Value[Library strategy]	Parameter Value[Library selection]	Parameter Value[Library layout]	Parameter Value[Library kit]	Parameter Value[Target insert size]	Parameter Value[Wet-lab insert size]	Performer	Date	Extract Name	Characteristics[Folder name]	Characteristics[Concentration]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Platform]	Parameter Value[Instrument model]	Parameter Value[Base quality encoding]	Parameter Value[Center name]	Parameter Value[Center contact]	Performer	Date	Raw Data File
P1033-N1	Nucleic acid extraction WGS				P1033-N1-DNA1					Library construction WGS																			P11033-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1034-N1	Nucleic acid extraction WGS				P1034-N1-DNA1					Library construction WGS																			P11034-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1035-N1	Nucleic acid extraction WGS				P1035-N1-DNA1					Library construction WGS																			P11035-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1036-N1	Nucleic acid extraction WGS				P1036-N1-DNA1					Library construction WGS																			P11036-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1037-N1	Nucleic acid extraction WGS				P1037-N1-DNA1					Library construction WGS																			P11037-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1038-N1	Nucleic acid extraction WGS				P1038-N1-DNA1					Library construction WGS																			P11038-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1039-N1	Nucleic acid extraction WGS				P1039-N1-DNA1					Library construction WGS																			P11039-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1040-N1	Nucleic acid extraction WGS				P1040-N1-DNA1					Library construction WGS																			P11040-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1041-N1	Nucleic acid extraction WGS				P1041-N1-DNA1					Library construction WGS																			P11041-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1042-N1	Nucleic acid extraction WGS				P1042-N1-DNA1					Library construction WGS																			P11042-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1043-N1	Nucleic acid extraction WGS				P1043-N1-DNA1					Library construction WGS																			P11043-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1044-N1	Nucleic acid extraction WGS				P1044-N1-DNA1					Library construction WGS																			P11044-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1045-N1	Nucleic acid extraction WGS				P1045-N1-DNA1					Library construction WGS																			P11045-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1046-N1	Nucleic acid extraction WGS				P1046-N1-DNA1					Library construction WGS																			P11046-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1047-N1	Nucleic acid extraction WGS				P1047-N1-DNA1					Library construction WGS																			P11047-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1048-N1	Nucleic acid extraction WGS				P1048-N1-DNA1					Library construction WGS																			P11048-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1049-N1	Nucleic acid extraction WGS				P1049-N1-DNA1					Library construction WGS																			P11049-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1050-N1	Nucleic acid extraction WGS				P1050-N1-DNA1					Library construction WGS																			P11050-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1051-N1	Nucleic acid extraction WGS				P1051-N1-DNA1					Library construction WGS																			P11051-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1052-N1	Nucleic acid extraction WGS				P1052-N1-DNA1					Library construction WGS																			P11052-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1053-N1	Nucleic acid extraction WGS				P1053-N1-DNA1					Library construction WGS																			P11053-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1054-N1	Nucleic acid extraction WGS				P1054-N1-DNA1					Library construction WGS																			P11054-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1055-N1	Nucleic acid extraction WGS				P1055-N1-DNA1					Library construction WGS																			P11055-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1056-N1	Nucleic acid extraction WGS				P1056-N1-DNA1					Library construction WGS																			P11056-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1057-N1	Nucleic acid extraction WGS				P1057-N1-DNA1					Library construction WGS																			P11057-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1058-N1	Nucleic acid extraction WGS				P1058-N1-DNA1					Library construction WGS																			P11058-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1059-N1	Nucleic acid extraction WGS				P1059-N1-DNA1					Library construction WGS																			P11059-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1060-N1	Nucleic acid extraction WGS				P1060-N1-DNA1					Library construction WGS																			P11060-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1061-N1	Nucleic acid extraction WGS				P1061-N1-DNA1					Library construction WGS																			P11061-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1062-N1	Nucleic acid extraction WGS				P1062-N1-DNA1					Library construction WGS																			P11062-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1063-N1	Nucleic acid extraction WGS				P1063-N1-DNA1					Library construction WGS																			P11063-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1064-N1	Nucleic acid extraction WGS				P1064-N1-DNA1					Library construction WGS																			P11064-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1065-N1	Nucleic acid extraction WGS				P1065-N1-DNA1					Library construction WGS																			P11065-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1066-N1	Nucleic acid extraction WGS				P1066-N1-DNA1					Library construction WGS																			P11066-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1067-N1	Nucleic acid extraction WGS				P1067-N1-DNA1					Library construction WGS																			P11067-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1068-N1	Nucleic acid extraction WGS				P1068-N1-DNA1					Library construction WGS																			P11068-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1069-N1	Nucleic acid extraction WGS				P1069-N1-DNA1					Library construction WGS																			P11069-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1070-N1	Nucleic acid extraction WGS				P1070-N1-DNA1					Library construction WGS																			P11070-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1071-N1	Nucleic acid extraction WGS				P1071-N1-DNA1					Library construction WGS																			P11071-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1072-N1	Nucleic acid extraction WGS				P1072-N1-DNA1					Library construction WGS																			P11072-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1073-N1	Nucleic acid extraction WGS				P1073-N1-DNA1					Library construction WGS																			P11073-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1074-N1	Nucleic acid extraction WGS				P1074-N1-DNA1					Library construction WGS																			P11074-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1075-N1	Nucleic acid extraction WGS				P1075-N1-DNA1					Library construction WGS																			P11075-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1076-N1	Nucleic acid extraction WGS				P1076-N1-DNA1					Library construction WGS																			P11076-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1077-N1	Nucleic acid extraction WGS				P1077-N1-DNA1					Library construction WGS																			P11077-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1078-N1	Nucleic acid extraction WGS				P1078-N1-DNA1					Library construction WGS																			P11078-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1079-N1	Nucleic acid extraction WGS				P1079-N1-DNA1					Library construction WGS																			P11079-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1080-N1	Nucleic acid extraction WGS				P1080-N1-DNA1					Library construction WGS																			P11080-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1081-N1	Nucleic acid extraction WGS				P1081-N1-DNA1					Library construction WGS																			P11081-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1082-N1	Nucleic acid extraction WGS				P1082-N1-DNA1					Library construction WGS																			P11082-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1083-N1	Nucleic acid extraction WGS				P1083-N1-DNA1					Library construction WGS																			P11083-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1084-N1	Nucleic acid extraction WGS				P1084-N1-DNA1					Library construction WGS																			P11084-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1085-N1	Nucleic acid extraction WGS				P1085-N1-DNA1					Library construction WGS																			P11085-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1086-N1	Nucleic acid extraction WGS				P1086-N1-DNA1					Library construction WGS																			P11086-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1087-N1	Nucleic acid extraction WGS				P1087-N1-DNA1					Library construction WGS																			P11087-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1088-N1	Nucleic acid extraction WGS				P1088-N1-DNA1					Library construction WGS																			P11088-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1089-N1	Nucleic acid extraction WGS				P1089-N1-DNA1					Library construction WGS																			P11089-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1090-N1	Nucleic acid extraction WGS				P1090-N1-DNA1					Library construction WGS																			P11090-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1091-N1	Nucleic acid extraction WGS				P1091-N1-DNA1					Library construction WGS																			P11091-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1092-N1	Nucleic acid extraction WGS				P1092-N1-DNA1					Library construction WGS																			P11092-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1093-N1	Nucleic acid extraction WGS				P1093-N1-DNA1					Library construction WGS																			P11093-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1094-N1	Nucleic acid extraction WGS				P1094-N1-DNA1					Library construction WGS																			P11094-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1095-N1	Nucleic acid extraction WGS				P1095-N1-DNA1					Library construction WGS																			P11095-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1096-N1	Nucleic acid extraction WGS				P1096-N1-DNA1					Library construction WGS																			P11096-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1097-N1	Nucleic acid extraction WGS				P1097-N1-DNA1					Library construction WGS																			P11097-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1098-N1	Nucleic acid extraction WGS				P1098-N1-DNA1					Library construction WGS																			P11098-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1099-N1	Nucleic acid extraction WGS				P1099-N1-DNA1					Library construction WGS																			P11099-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1100-N1	Nucleic acid extraction WGS				P1100-N1-DNA1					Library construction WGS																			P11100-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1101-N1	Nucleic acid extraction WGS				P1101-N1-DNA1					Library construction WGS																			P11101-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1102-N1	Nucleic acid extraction WGS				P1102-N1-DNA1					Library construction WGS																			P11102-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1103-N1	Nucleic acid extraction WGS				P1103-N1-DNA1					Library construction WGS																			P11103-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1104-N1	Nucleic acid extraction WGS				P1104-N1-DNA1					Library construction WGS																			P11104-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1105-N1	Nucleic acid extraction WGS				P1105-N1-DNA1					Library construction WGS																			P11105-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1106-N1	Nucleic acid extraction WGS				P1106-N1-DNA1					Library construction WGS																			P11106-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1107-N1	Nucleic acid extraction WGS				P1107-N1-DNA1					Library construction WGS																			P11107-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1108-N1	Nucleic acid extraction WGS				P1108-N1-DNA1					Library construction WGS																			P11108-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1109-N1	Nucleic acid extraction WGS				P1109-N1-DNA1					Library construction WGS																			P11109-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1110-N1	Nucleic acid extraction WGS				P1110-N1-DNA1					Library construction WGS																			P11110-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1111-N1	Nucleic acid extraction WGS				P1111-N1-DNA1					Library construction WGS																			P11111-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1112-N1	Nucleic acid extraction WGS				P1112-N1-DNA1					Library construction WGS																			P11112-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1113-N1	Nucleic acid extraction WGS				P1113-N1-DNA1					Library construction WGS																			P11113-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1114-N1	Nucleic acid extraction WGS				P1114-N1-DNA1					Library construction WGS																			P11114-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1115-N1	Nucleic acid extraction WGS				P1115-N1-DNA1					Library construction WGS																			P11115-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1116-N1	Nucleic acid extraction WGS				P1116-N1-DNA1					Library construction WGS																			P11116-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1117-N1	Nucleic acid extraction WGS				P1117-N1-DNA1					Library construction WGS																			P11117-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1118-N1	Nucleic acid extraction WGS				P1118-N1-DNA1					Library construction WGS																			P11118-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1119-N1	Nucleic acid extraction WGS				P1119-N1-DNA1					Library construction WGS																			P11119-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1120-N1	Nucleic acid extraction WGS				P1120-N1-DNA1					Library construction WGS																			P11120-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1121-N1	Nucleic acid extraction WGS				P1121-N1-DNA1					Library construction WGS																			P11121-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1122-N1	Nucleic acid extraction WGS				P1122-N1-DNA1					Library construction WGS																			P11122-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1123-N1	Nucleic acid extraction WGS				P1123-N1-DNA1					Library construction WGS																			P11123-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1124-N1	Nucleic acid extraction WGS				P1124-N1-DNA1					Library construction WGS																			P11124-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1125-N1	Nucleic acid extraction WGS				P1125-N1-DNA1					Library construction WGS																			P11125-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1126-N1	Nucleic acid extraction WGS				P1126-N1-DNA1					Library construction WGS																			P11126-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1127-N1	Nucleic acid extraction WGS				P1127-N1-DNA1					Library construction WGS																			P11127-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1128-N1	Nucleic acid extraction WGS				P1128-N1-DNA1					Library construction WGS																			P11128-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1129-N1	Nucleic acid extraction WGS				P1129-N1-DNA1					Library construction WGS																			P11129-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1130-N1	Nucleic acid extraction WGS				P1130-N1-DNA1					Library construction WGS																			P11130-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1131-N1	Nucleic acid extraction WGS				P1131-N1-DNA1					Library construction WGS																			P11131-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1132-N1	Nucleic acid extraction WGS				P1132-N1-DNA1					Library construction WGS																			P11132-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1133-N1	Nucleic acid extraction WGS				P1133-N1-DNA1					Library construction WGS																			P11133-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1134-N1	Nucleic acid extraction WGS				P1134-N1-DNA1					Library construction WGS																			P11134-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1135-N1	Nucleic acid extraction WGS				P1135-N1-DNA1					Library construction WGS																			P11135-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1136-N1	Nucleic acid extraction WGS				P1136-N1-DNA1					Library construction WGS																			P11136-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1137-N1	Nucleic acid extraction WGS				P1137-N1-DNA1					Library construction WGS																			P11137-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1138-N1	Nucleic acid extraction WGS				P1138-N1-DNA1					Library construction WGS																			P11138-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1139-N1	Nucleic acid extraction WGS				P1139-N1-DNA1					Library construction WGS																			P11139-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1140-N1	Nucleic acid extraction WGS				P1140-N1-DNA1					Library construction WGS																			P11140-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1141-N1	Nucleic acid extraction WGS				P1141-N1-DNA1					Library construction WGS																			P11141-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1142-N1	Nucleic acid extraction WGS				P1142-N1-DNA1					Library construction WGS																			P11142-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1143-N1	Nucleic acid extraction WGS				P1143-N1-DNA1					Library construction WGS																			P11143-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1144-N1	Nucleic acid extraction WGS				P1144-N1-DNA1					Library construction WGS																			P11144-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1145-N1	Nucleic acid extraction WGS				P1145-N1-DNA1					Library construction WGS																			P11145-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1146-N1	Nucleic acid extraction WGS				P1146-N1-DNA1					Library construction WGS																			P11146-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1147-N1	Nucleic acid extraction WGS				P1147-N1-DNA1					Library construction WGS																			P11147-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1148-N1	Nucleic acid extraction WGS				P1148-N1-DNA1					Library construction WGS																			P11148-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1149-N1	Nucleic acid extraction WGS				P1149-N1-DNA1					Library construction WGS																			P11149-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1150-N1	Nucleic acid extraction WGS				P1150-N1-DNA1					Library construction WGS																			P11150-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1151-N1	Nucleic acid extraction WGS				P1151-N1-DNA1					Library construction WGS																			P11151-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1152-N1	Nucleic acid extraction WGS				P1152-N1-DNA1					Library construction WGS																			P11152-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1153-N1	Nucleic acid extraction WGS				P1153-N1-DNA1					Library construction WGS																			P11153-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1154-N1	Nucleic acid extraction WGS				P1154-N1-DNA1					Library construction WGS																			P11154-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1155-N1	Nucleic acid extraction WGS				P1155-N1-DNA1					Library construction WGS																			P11155-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1156-N1	Nucleic acid extraction WGS				P1156-N1-DNA1					Library construction WGS																			P11156-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1157-N1	Nucleic acid extraction WGS				P1157-N1-DNA1					Library construction WGS																			P11157-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1158-N1	Nucleic acid extraction WGS				P1158-N1-DNA1					Library construction WGS																			P11158-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1159-N1	Nucleic acid extraction WGS				P1159-N1-DNA1					Library construction WGS																			P11159-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1160-N1	Nucleic acid extraction WGS				P1160-N1-DNA1					Library construction WGS																			P11160-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1161-N1	Nucleic acid extraction WGS				P1161-N1-DNA1					Library construction WGS																			P11161-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1162-N1	Nucleic acid extraction WGS				P1162-N1-DNA1					Library construction WGS																			P11162-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1163-N1	Nucleic acid extraction WGS				P1163-N1-DNA1					Library construction WGS																			P11163-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1164-N1	Nucleic acid extraction WGS				P1164-N1-DNA1					Library construction WGS																			P11164-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1165-N1	Nucleic acid extraction WGS				P1165-N1-DNA1					Library construction WGS																			P11165-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1166-N1	Nucleic acid extraction WGS				P1166-N1-DNA1					Library construction WGS																			P11166-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1167-N1	Nucleic acid extraction WGS				P1167-N1-DNA1					Library construction WGS																			P11167-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1168-N1	Nucleic acid extraction WGS				P1168-N1-DNA1					Library construction WGS																			P11168-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1169-N1	Nucleic acid extraction WGS				P1169-N1-DNA1					Library construction WGS																			P11169-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1170-N1	Nucleic acid extraction WGS				P1170-N1-DNA1					Library construction WGS																			P11170-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1171-N1	Nucleic acid extraction WGS				P1171-N1-DNA1					Library construction WGS																			P11171-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1172-N1	Nucleic acid extraction WGS				P1172-N1-DNA1					Library construction WGS																			P11172-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1173-N1	Nucleic acid extraction WGS				P1173-N1-DNA1					Library construction WGS																			P11173-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
P1174-N1	Nucleic acid extraction WGS				P1174-N1-DNA1					Library construction WGS																			P11174-N1-DNA1-WGS1						Nucleic acid sequencing WGS								
