Sample Name	Protocol REF	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Parameter Value[Mass spectrometry Instrument]	Parameter Value[Mass spectrometry resolution]	Scan Name	Protocol REF	Parameter Value[Software1]	Parameter Value[Software1 Manufacturer]	Parameter Value[Software2]	Data Transformation Name	Protocol REF	Data Transformation Name
CTRL003N	Protein reduction, alkylation and digestion	CTRL003N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL003N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL003N_dat	MS identification	CTRL003N_pr
CTRL010N	Protein reduction, alkylation and digestion	CTRL010N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL010N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL010N_dat	MS identification	CTRL010N_pr
CTRL004M	Protein reduction, alkylation and digestion	CTRL004M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL004M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL004M_dat	MS identification	CTRL004M_pr
CTRL009N	Protein reduction, alkylation and digestion	CTRL009N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL009N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL009N_dat	MS identification	CTRL009N_pr
CTRL012N	Protein reduction, alkylation and digestion	CTRL012N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL012N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL012N_dat	MS identification	CTRL012N_pr
TB011N	Protein reduction, alkylation and digestion	TB011N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB011N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB011N_dat	MS identification	TB011N_pr
TB015N	Protein reduction, alkylation and digestion	TB015N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB015N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB015N_dat	MS identification	TB015N_pr
TB007N	Protein reduction, alkylation and digestion	TB007N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB007N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB007N_dat	MS identification	TB007N_pr
TB005N	Protein reduction, alkylation and digestion	TB005N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB005N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB005N_dat	MS identification	TB005N_pr
CTRL005M	Protein reduction, alkylation and digestion	CTRL005M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL005M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL005M_dat	MS identification	CTRL005M_pr
CTRL002M	Protein reduction, alkylation and digestion	CTRL002M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL002M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL002M_dat	MS identification	CTRL002M_pr
CTRL010M	Protein reduction, alkylation and digestion	CTRL010M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL010M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL010M_dat	MS identification	CTRL010M_pr
CTRL009M	Protein reduction, alkylation and digestion	CTRL009M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL009M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL009M_dat	MS identification	CTRL009M_pr
CTRL012M	Protein reduction, alkylation and digestion	CTRL012M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	CTRL012M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	CTRL012M_dat	MS identification	CTRL012M_pr
TB011M	Protein reduction, alkylation and digestion	TB011M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB011M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB011M_dat	MS identification	TB011M_pr
TB015M	Protein reduction, alkylation and digestion	TB015M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB015M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB015M_dat	MS identification	TB015M_pr
TB001M	Protein reduction, alkylation and digestion	TB001M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB001M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB001M_dat	MS identification	TB001M_pr
TB010N	Protein reduction, alkylation and digestion	TB010N_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB010N_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB010N_dat	MS identification	TB010N_pr
TB007M	Protein reduction, alkylation and digestion	TB007M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB007M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB007M_dat	MS identification	TB007M_pr
TB005M	Protein reduction, alkylation and digestion	TB005M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB005M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB005M_dat	MS identification	TB005M_pr
TB008M	Protein reduction, alkylation and digestion	TB008M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB008M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB008M_dat	MS identification	TB008M_pr
TB002M	Protein reduction, alkylation and digestion	TB002M_slv	Mass spectrometry	Thermo Easy-nLC 1000 high-performance liquid chromatography (HPLC) system	Orbitrap Elite	120000	TB002M_ms	Label free quantification	Progenesis 4.0	Nonlinear Dynamics	Peptide prophet	TB002M_dat	MS identification	TB002M_pr
